Element_name:	Atomic_weight: 
H	1.008 
He	4.003 
Li	6.941 
Be	9.012 
B	10.811 
C	12.011 
N	14.007 
O	15.999 
F	18.998 
Ne	20.180 
Na	22.990 
Mg	24.305 
Al	26.982 
Si	28.086 
P	30.974 
S	32.066 
Cl	35.453 
Ar	39.948 
K	39.098 
Ca	40.078 
Sc	44.956 
Ti	47.880 
V	50.942 
Cr	51.996 
Mn	54.938 
Fe	55.847 
Co	58.933 
Ni	58.693 
Cu	63.546 
Zn	65.390 
Ga	69.723 
Ge	72.610 
As	74.922 
Se	78.960 
Br	79.904 
Kr	83.800 
Rb	85.468 
Sr	87.620 
Y	88.906 
Zr	91.224 
Nb	92.906 
Mo	95.940 
Tc	98.906 
Ru	101.070 
Rh	102.906 
Pd	106.420 
Ag	107.868 
Cd	112.411 
In	114.820 
Sn	118.710 
Sb	121.757 
Te	127.600 
I	126.904 
Xe	131.290 
Cs	132.905 
Ba	137.327 
La	138.906 
Ce	140.115 
Pr	140.908 
Nd	144.240 
Pm	146.920 
Sm	150.360 
Eu	151.965 
Gd	157.250 
Tb	158.925 
Dy	162.500 
Ho	164.930 
Er	167.260 
Tm	168.934 
Yb	173.040 
Lu	174.967 
Hf	178.490 
Ta	180.948 
W	183.850 
Re	186.207 
Os	190.200 
Ir	192.220 
Pt	195.080 
Au	196.967 
Hg	200.590 
Tl	204.383 
Pb	207.200 
Bi	208.980 
Po	209.980 
At	209.990 
Rn	222.020 
Fr	223.020 
Ra	226.030 
Ac	227.020 
Th	232.038 
Pa	231.036 
U	238.029 
